english,polish,type,level
regard,wzgląd / poważanie,rzeczownik,B2
region,region / kraina,rzeczownik,A2
regional,regionalny,przymiotnik,B2
register,rejestrować (się) / zapisać (się),czasownik,B2
register,rejestr / wykaz,rzeczownik,B2
regret,żałować,czasownik,B2
regret,żal / ubolewanie,rzeczownik,B2
regular,regularny / zwykły,przymiotnik,A2
regularly,regularnie,przysłówek,B1
regulation,przepis / regulacja,rzeczownik,B2
reject,odrzucać / odtrącać,czasownik,B1
relate,dotyczyć / wiązać / relacjonować,czasownik,B1
related,powiązany / spokrewniony,przymiotnik,B1
relation,relacja / związek / krewny,rzeczownik,B1
relationship,związek / relacja,rzeczownik,A2
relative,względny,przymiotnik,B1
relative,krewny / krewna,rzeczownik,B1
relatively,stosunkowo / relatywnie,przysłówek,B2
relax,relaksować się / odpoczywać,czasownik,A1
relaxed,zrelaksowany / wyluzowany,przymiotnik,B1
relaxing,relaksujący,przymiotnik,B1
release,uwalniać / wypuszczać / wydawać (płytę/film),czasownik,B1
release,uwolnienie / wydanie / premiera,rzeczownik,B1
relevant,istotny / trafny / relewantny,przymiotnik,B2
reliable,niezawodny / wiarygodny,przymiotnik,B1
relief,ulga,rzeczownik,B2
religion,religia,rzeczownik,B1
religious,religijny,przymiotnik,B1
rely,polegać na,czasownik,B2
remain,pozostawać,czasownik,B1
remark,uwaga / spostrzeżenie,rzeczownik,B2
remark,zauważyć / nadmienić,czasownik,B2
remember,pamiętać / przypominać sobie,czasownik,A1
remind,przypominać (komuś o czymś),czasownik,B1
remote,odległy / zdalny,przymiotnik,B1
remove,usuwać / zdejmować,czasownik,A2
rent,czynsz,rzeczownik,B1
rent,wynajmować,czasownik,B1
repair,naprawiać,czasownik,A2
repair,naprawa,rzeczownik,B1
repeat,powtarzać,czasownik,A1
repeat,powtórka,rzeczownik,B1
repeated,powtarzający się / wielokrotny,przymiotnik,B1
replace,zastępować / wymieniać,czasownik,A2
reply,odpowiadać,czasownik,A2
reply,odpowiedź,rzeczownik,A2
report,raport / sprawozdanie,rzeczownik,A1
report,zgłaszać / raportować,czasownik,A2
reporter,reporter / dziennikarz,rzeczownik,A2
represent,reprezentować / przedstawiać,czasownik,B1
representative,przedstawiciel,rzeczownik,B2
representative,reprezentatywny,przymiotnik,B2
reputation,reputacja / opinia,rzeczownik,B2
request,prośba / żądanie,rzeczownik,A2
request,prosić / wnioskować,czasownik,B1
require,wymagać / potrzebować,czasownik,B1
requirement,wymaganie / wymóg,rzeczownik,B2
rescue,ratować / ocalić,czasownik,B2
rescue,ratunek / ocalenie,rzeczownik,B2
research,badania naukowe / analiza,rzeczownik,A2
research,badać / prowadzić badania,czasownik,A2
researcher,badacz / naukowiec,rzeczownik,A2
reservation,rezerwacja,rzeczownik,B1
reserve,rezerwa / zapas,rzeczownik,B2
reserve,rezerwować,czasownik,B2
resident,mieszkaniec / rezydent,rzeczownik,B2
resident,zamieszkały / osiadły,przymiotnik,B2
resist,stawiać opór / opierać się,czasownik,B2
resolve,rozwiązywać (np. problem),czasownik,B2
resort,kurort / ośrodek wypoczynkowy,rzeczownik,B2
resource,zasób / źródło,rzeczownik,B1
respect,szacunek / poważanie,rzeczownik,B1
respect,szanować / poważać,czasownik,B1
respond,odpowiadać / reagować,czasownik,A2
response,odpowiedź / reakcja,rzeczownik,A2
responsibility,odpowiedzialność,rzeczownik,B1
responsible,odpowiedzialny,przymiotnik,B1
rest (remaining part),reszta / pozostałość,rzeczownik,A2
rest (sleep/relax),odpoczynek,rzeczownik,A2
rest (sleep/relax),odpoczywać,czasownik,A2
restaurant,restauracja,rzeczownik,A1
result,wynik / rezultat,rzeczownik,A1
result,wynikać,czasownik,B1
retain,zachowywać / zatrzymywać,czasownik,B2
retire,przechodzić na emeryturę,czasownik,B1
retired,emerytowany / na emeryturze,przymiotnik,B1
return,wracać / zwracać,czasownik,A1
return,powrót / zwrot,rzeczownik,A1
reveal,wyjawiać / odsłaniać,czasownik,B2
review,recenzja / przegląd / powtórka,rzeczownik,A2
review,recenzować / robić przegląd,czasownik,A2
revise,powtarzać (materiał) / korygować,czasownik,B1
revolution,rewolucja,rzeczownik,B2
reward,nagroda,rzeczownik,B2
reward,nagradzać,czasownik,B2
rhythm,rytm,rzeczownik,B2
rice,ryż,rzeczownik,A1
rich,bogaty,przymiotnik,A1
rid,uwalniać / pozbywać się (w zwrocie get rid of),czasownik,B2
ride,jechać (na czymś) / ujeżdżać,czasownik,A1
ride,przejażdżka,rzeczownik,A2
right,prawy / właściwy / poprawny,przymiotnik,A1
right,prawo (np. do czegoś) / prawa strona,rzeczownik,A1
right,dobrze / poprawnie / bezpośrednio,przysłówek,A1
ring (object),pierścionek / dzwonek / krąg,rzeczownik,A2
ring (sound),dzwonić,czasownik,A2
ring (sound),dzwonek / dźwięk dzwonka,rzeczownik,B1
rise,wzrastać / podnosić się / wschodzić,czasownik,A2
rise,wzrost / podwyżka,rzeczownik,B1
risk,ryzyko,rzeczownik,B1
risk,ryzykować,czasownik,B1
river,rzeka,rzeczownik,A1
road,droga / ulica,rzeczownik,A1
robot,robot,rzeczownik,B1
rock (stone),skała / kamień,rzeczownik,A2
rock (music),rock (muzyka),rzeczownik,A2
role,rola,rzeczownik,A2
roll,toczyć (się) / zwijać / rzucać (kostką),czasownik,B1
roll,bułka / rolka / rzut,rzeczownik,B1
romantic,romantyczny,przymiotnik,B1
roof,dach,rzeczownik,A2
room,pokój / miejsce / przestrzeń,rzeczownik,A1
root,korzeń / źródło,rzeczownik,B2
rope,lina / sznur,rzeczownik,B1
rough,szorstki / burzliwy / przybliżony,przymiotnik,B1
round,okrągły,przymiotnik,A2
round,dookoła / wokół,przysłówek / przyimek,A2
round,runda / tura,rzeczownik,B2
route,trasa / droga,rzeczownik,A2
routine,rutyna / codzienność,rzeczownik,A1
routine,rutynowy,przymiotnik,B2
row (line),rząd / szereg,rzeczownik,B1
royal,królewski,przymiotnik,B1
rub,trzeć / pocierać,czasownik,B2
rubber,guma / gumka do ścierania,rzeczownik,B2
rubber,gumowy,przymiotnik,B2
rubbish,śmieci / bzdury,rzeczownik,A2
rude,nieuprzejmy / grubiański,przymiotnik,A2
rugby,rugby,rzeczownik,B1
rule,zasada / reguła / rządy,rzeczownik,A1
rule,rządzić / panować,czasownik,B1
run,biegać / zarządzać,czasownik,A1
run,bieg / trasa,rzeczownik,A2
runner,biegacz / biegaczka,rzeczownik,A2
running,bieganie,rzeczownik,A2
rural,wiejski,przymiotnik,B2
rush,pędzić / śpieszyć się,czasownik,B2
rush,pośpiech / natłok,rzeczownik,B2
sad,smutny,przymiotnik,A1
sadly,niestety / smutno,przysłówek,A2
safe,bezpieczny,przymiotnik,A2
safety,bezpieczeństwo,rzeczownik,B1
sail,żeglować / płynąć,czasownik,A2
sail,żagiel / rejs,rzeczownik,B1
sailing,żeglarstwo,rzeczownik,A2
sailor,żeglarz / marynarz,rzeczownik,B1
salad,sałatka,rzeczownik,A1
salary,pensja / wynagrodzenie,rzeczownik,A2
sale,sprzedaż / wyprzedaż,rzeczownik,A2
salt,sól,rzeczownik,A1
same,ten sam / taki sam,przymiotnik / zaimek,A1
same,tak samo,przysłówek,A1
sample,próbka / wzór,rzeczownik,B1
sample,próbować / kosztować,czasownik,B2
sand,piasek,rzeczownik,B1
sandwich,kanapka,rzeczownik,A1
satellite,satelita,rzeczownik,B2
satisfied,zadowolony / usatysfakcjonowany,przymiotnik,B2
satisfy,zadowalać / spełniać (wymagania),czasownik,B2
Saturday,sobota,rzeczownik,A1
sauce,sos,rzeczownik,A2
save,ratować / oszczędzać / zapisywać (dane),czasownik,A2
saving,oszczędność / ocalenie,rzeczownik,B2
say,mówić / powiedzieć,czasownik,A1
scale,skala / podziałka / waga,rzeczownik,B2
scan,skanować / przeglądać,czasownik,B1
scared,przestraszony,przymiotnik,A2
scary,straszny / przerażający,przymiotnik,A2
scene,scena / miejsce zdarzenia,rzeczownik,A2
schedule,harmonogram / terminarz,rzeczownik,A2
schedule,planować / wyznaczać termin,czasownik,B2
scheme,program / system / schemat,rzeczownik,B2
school,szkoła,rzeczownik,A1
science,nauka (przedmiot),rzeczownik,A1
scientific,naukowy,przymiotnik,B1
scientist,naukowiec,rzeczownik,A1
score,zdobywać punkty / strzelać (bramkę),czasownik,A2
score,wynik / liczba punktów,rzeczownik,A2
scream,krzyczeć / wrzeszczeć,czasownik,B2
scream,krzyk / wrzask,rzeczownik,B2
screen,ekran / monitor,rzeczownik,A2
screen,wyświetlać / osłaniać,czasownik,B2
script,scenariusz / pismo,rzeczownik,B1
sculpture,rzeźba,rzeczownik,B1
sea,morze,rzeczownik,A1
search,szukać / przeszukiwać,czasownik,A2
search,poszukiwanie / wyszukiwanie,rzeczownik,A2
season,pora roku / sezon,rzeczownik,A2
seat,siedzenie / miejsce siedzące,rzeczownik,A2
seat,mieścić (liczbę osób) / usadzać,czasownik,B2
second (next after first),drugi,liczebnik / określnik,A1
second (next after first),po drugie,przysłówek,A2
second (unit of time),sekunda,rzeczownik,A1
secondary,średni (o szkole) / drugorzędny,przymiotnik,B1
secondly,po drugie,przysłówek,A2
secret,tajemnica / sekret,rzeczownik,A2
secret,tajny / tajemny,przymiotnik,A2
secretary,sekretarz / sekretarka,rzeczownik,A2
section,sekcja / dział / odcinek,rzeczownik,A1
sector,sektor / branża,rzeczownik,B2
secure,zabezpieczać / zapewniać,czasownik,B2
secure,bezpieczny / pewny,przymiotnik,B2
security,bezpieczeństwo / ochrona,rzeczownik,B1
see,widzieć / rozumieć / spotykać,czasownik,A1
seed,nasiono / ziarno,rzeczownik,B1
seek,szukać / dążyć do,czasownik,B2
seem,wydawać się / zdawać się,czasownik,A2
select,wybierać / selekcjonować,czasownik,B2
selection,wybór / selekcja,rzeczownik,B2
self,siebie / własna osoba,rzeczownik,B2
sell,sprzedawać,czasownik,A1
send,wysyłać,czasownik,A1
senior,starszy (rangą lub wiekiem),przymiotnik,B2
sense,zmysł / sens / poczucie,rzeczownik,A2
sense,wyczuwać,czasownik,B2
sensible,rozsądny,przymiotnik,B1
sensitive,wrażliwy / czuły,przymiotnik,B2
sentence,zdanie,rzeczownik,A1
sentence,skazywać / zasądzać wyrok,czasownik,B2
separate,oddzielny / osobny,przymiotnik,A2
separate,oddzielać / rozdzielać,czasownik,B1
September,wrzesień,rzeczownik,A1
sequence,sekwencja / kolejność,rzeczownik,B2
series,seria / cykl / serial,rzeczownik,A2
serious,poważny,przymiotnik,A2
seriously,poważnie,przysłówek,B1
servant,służący / służąca,rzeczownik,B1
serve,służyć / serwować / obsługiwać,czasownik,A2
service,usługa / obsługa / nabożeństwo,rzeczownik,A2
session,sesja / posiedzenie,rzeczownik,B2
set (put),umieszczać / ustawiać / nastawiać,czasownik,B1
set (group),zestaw / komplet,rzeczownik,B1
setting,otoczenie / sceneria / ustawienie,rzeczownik,B1
settle,osiedlać się / rozstrzygać / uregulować,czasownik,B2
seven,siedem,liczebnik,A1
seventeen,siedemnaście,liczebnik,A1
seventy,siedemdziesiąt,liczebnik,A1
several,kilka / kilkanaście,określnik / zaimek,A2
severe,poważny / ciężki / srogi,przymiotnik,B2
sex,płeć / seks,rzeczownik,B1
sexual,seksualny / płciowy,przymiotnik,B1
shade,cień / odcień,rzeczownik,B2
shadow,cień (rzucany przez przedmiot),rzeczownik,B2
shake,trząść (się) / potrząsać,czasownik,A2
shake,wstrząs / potrząśnięcie,rzeczownik,B1
shall,mieć (w pytaniach o radę) / forma czasu przyszłego,czasownik modalny,A2
shallow,płytki,przymiotnik,B2
shame,wstyd / szkoda,rzeczownik,B2
shape,kształt / forma,rzeczownik,A2
shape,kształtować / formować,czasownik,B2
share,dzielić (się) / udostępniać,czasownik,A1
share,udział / akcja,rzeczownik,B1
sharp,ostry / gwałtowny,przymiotnik,B1
she,ona,zaimek,A1
sheep,owca,rzeczownik,A1
sheet,prześcieradło / arkusz,rzeczownik,A2
shelf,półka,rzeczownik,B1
shell,muszla / skorupa,rzeczownik,B1
shelter,schronienie / szałas,rzeczownik,B2
shelter,chronić (się),czasownik,B2
shift,zmiana (w pracy) / przesunięcie,rzeczownik,B1
shift,przesuwać / zmieniać,czasownik,B2
shine,świecić / błyszczeć,czasownik,B1
shiny,lśniący / błyszczący,przymiotnik,B1
ship,statek,rzeczownik,A2
ship,wysyłać / transportować (statkiem),czasownik,B2
shirt,koszula,rzeczownik,A1
shock,szok / wstrząs,rzeczownik,B2
shock,szokować,czasownik,B2
shocked,zszokowany,przymiotnik,B2
shoe,but,rzeczownik,A1
shoot,strzelać / filmować,czasownik,B1
shooting,strzelanina / polowanie / zdjęcia filmowe,rzeczownik,B2
shop,sklep,rzeczownik,A1
shop,robić zakupy,czasownik,A1
shopping,zakupy,rzeczownik,A1
short,krótki / niski,przymiotnik,A1
shot,strzał / ujęcie (filmu) / zastrzyk,rzeczownik,B2
should,powinien / powinna,czasownik modalny,A1
shoulder,ramię / bark,rzeczownik,A2
shout,krzyczeć,czasownik,A2
shout,krzyk,rzeczownik,A2
show,pokazywać / wyświetlać,czasownik,A1
show,program / przedstawienie / pokaz,rzeczownik,A1
shower,prysznic / ulewa,rzeczownik,A1
shut,zamykać,czasownik,A2
shut,zamknięty,przymiotnik,A2
shy,nieśmiały,przymiotnik,B1
sick,chory / mający mdłości,przymiotnik,A1
side,strona / bok,rzeczownik,A2
sight,wzrok / widok / celownik,rzeczownik,B1
sign,znak / szyld,rzeczownik,A2
sign,podpisywać,czasownik,A2
signal,sygnał,rzeczownik,B1
signal,sygnalizować,czasownik,B1
significant,znaczący / ważny,przymiotnik,B2
significantly,znacząco / znacznie,przysłówek,B2
silence,cisza / milczenie,rzeczownik,B2
silent,cichy / milczący,przymiotnik,B1
silk,jedwab,rzeczownik,B2
silly,głupi / niemądry,przymiotnik,B1
silver,srebro,rzeczownik,A2
silver,srebrny,przymiotnik,A2
similar,podobny,przymiotnik,A1
similarity,podobieństwo,rzeczownik,B1
similarly,podobnie,przysłówek,B1
simple,prosty / łatwy,przymiotnik,A2
simply,po prostu / zwyczajnie,przysłówek,B1
since,od / od czasu gdy,przyimek / spójnik,A2
since,od tego czasu,przysłówek,B1
sincere,szczery,przymiotnik,B2
sing,śpiewać,czasownik,A1
singing,śpiew / śpiewanie,rzeczownik,A2
single,pojedynczy / wolny (stan cywilny),przymiotnik,A2
single,bilet w jedną stronę / singiel,rzeczownik,A2
sink,tonąć / zapadać się,czasownik,B1
sir,pan (uprzejmie),rzeczownik,A2
sister,siostra,rzeczownik,A1
sit,siedzieć / siadać,czasownik,A1
site,miejsce / witryna internetowa,rzeczownik,A2
situation,sytuacja,rzeczownik,A1
six,sześć,liczebnik,A1
sixteen,szesnaście,liczebnik,A1
sixty,sześćdziesiąt,liczebnik,A1
size,rozmiar / wielkość,rzeczownik,A2
ski,jeździć na nartach,czasownik,A2
ski,narta,rzeczownik,A2
skiing,narciarstwo,rzeczownik,A2
skill,umiejętność,rzeczownik,A1
skin,skóra,rzeczownik,A2
skirt,spódnica,rzeczownik,A1
sky,niebo,rzeczownik,A2
slave,niewolnik / niewolnica,rzeczownik,B2
sleep,spać,czasownik,A1
sleep,sen,rzeczownik,A2
slice,kawałek / plasterek,rzeczownik,B1
slice,kroić na plastry,czasownik,B1
slide,ślizgać się / przesuwać,czasownik,B2
slide,zjeżdżalnia / slajd,rzeczownik,B2
slight,niewielki / drobny,przymiotnik,B2
slightly,nieco / trochę,przysłówek,B1
slip,poślizgnąć się / wymknąć się,czasownik,B2
slope,stok / nachylenie,rzeczownik,B2
slope,mieć nachylenie,czasownik,B2
slow,wolny / powolny,przymiotnik,A1
slow,zwalniać,czasownik,B1
slowly,powoli,przysłówek,A2
small,mały,przymiotnik,A1
smart,inteligentny / elegancki,przymiotnik,B1
smartphone,smartfon,rzeczownik,A2
smell,pachnieć / wąchać,czasownik,A2
smell,zapach / węch,rzeczownik,A2
smile,uśmiechać się,czasownik,A2
smile,uśmiech,rzeczownik,A2
smoke,dym,rzeczownik,A2
smoke,palić (papierosy),czasownik,A2
smoking,palenie tytoniu,rzeczownik,A2
smooth,gładki / płynny,przymiotnik,B1
snake,wąż,rzeczownik,A1
snow,śnieg,rzeczownik,A1
snow,padać (o śniegu),czasownik,A1
so,tak / więc / dlatego,przysłówek / spójnik,A1
soap,mydło,rzeczownik,A2
soccer,piłka nożna,rzeczownik,A2
social,społeczny / towarzyski,przymiotnik,A2
society,społeczeństwo / stowarzyszenie,rzeczownik,A2
sock,skarpetka,rzeczownik,A2
soft,miękki / delikatny,przymiotnik,A2
software,oprogramowanie,rzeczownik,B1
soil,gleba / ziemia,rzeczownik,B1
solar,słoneczny,przymiotnik,B2
soldier,żołnierz,rzeczownik,A2
solid,solidny / stały / twardy,przymiotnik,B1
solid,ciało stałe,rzeczownik,B1
solution,rozwiązanie,rzeczownik,A2
solve,rozwiązywać,czasownik,A2
some,niektóre / jakieś / trochę,określnik / zaimek,A1
somebody,ktoś,zaimek,A1
someone,ktoś,zaimek,A1
something,coś,zaimek,A1
sometimes,czasami,przysłówek,A1
somewhat,nieco / poniekąd,przysłówek,B2
somewhere,gdzieś,przysłówek / zaimek,A2
son,syn,rzeczownik,A1
song,piosenka / utwór,rzeczownik,A1
soon,wkrótce / niedługo,przysłówek,A1
sorry,przepraszam / przykro mi,przymiotnik / wykrzyknik,A1
sort,rodzaj / typ,rzeczownik,A2
sort,sortować / porządkować,czasownik,B1
soul,dusza,rzeczownik,B2
sound,dźwięk,rzeczownik,A1
sound,brzmieć / wydawać dźwięk,czasownik,A1
soup,zupa,rzeczownik,A1
source,źródło,rzeczownik,A2
south,południe (kierunek),rzeczownik,A1
south,południowy,przymiotnik,A1
south,na południe,przysłówek,A1
southern,południowy (z regionu),przymiotnik,B1
space,przestrzeń / miejsce / kosmos,rzeczownik,A1
speak,mówić / rozmawiać,czasownik,A1
speaker,mówca / głośnik,rzeczownik,A2
special,specjalny / wyjątkowy,przymiotnik,A1
specialist,specjalista,rzeczownik,B2
specialist,specjalistyczny,przymiotnik,B2
species,gatunek (biologiczny),rzeczownik,B2
specific,konkretny / specyficzny,przymiotnik,A2
specifically,konkretnie / specjalnie,przysłówek,B1
speech,przemówienie / mowa,rzeczownik,A2
speed,prędkość,rzeczownik,A2
speed,pędzić,czasownik,B2
spell,literować,czasownik,A1
spelling,pisownia / ortografia,rzeczownik,A1
spend,wydawać (pieniądze) / spędzać (czas),czasownik,A1
spending,wydatki,rzeczownik,B1
spicy,ostry / pikantny,przymiotnik,B1
spider,pająk,rzeczownik,A2
spirit,duch / nastrój / alkohol (wysokoprocentowy),rzeczownik,B1
spiritual,duchowy,przymiotnik,B2
split,dzielić (się) / rozdzielać,czasownik,B2
split,rozłam / pęknięcie,rzeczownik,B2
spoken,mówiony,przymiotnik,B1
sponsor,sponsorować,czasownik,B2
sponsor,sponsor,rzeczownik,B2
spoon,łyżka,rzeczownik,A2
sport,sport,rzeczownik,A1
spot,miejsce / kropka / plamka,rzeczownik,B1
spot,dostrzec / zauważyć,czasownik,B2
spread,rozprzestrzeniać (się) / smarować,czasownik,B1
spread,rozpiętość / rozprzestrzenianie się,rzeczownik,B2
spring,wiosna / sprężyna,rzeczownik,A1
spring,skakać / wyskakiwać,czasownik,B1
square,kwadratowy / prostokątny,przymiotnik,A2
square,kwadrat / plac,rzeczownik,A2
stable,stabilny,przymiotnik,B2
stadium,stadion,rzeczownik,B1
staff,personel / kadra,rzeczownik,B1
stage,etap / faza / scena,rzeczownik,A2
stage,organizować / wystawiać (na scenie),czasownik,B2
stair,schód / stopień,rzeczownik,A2
stamp,znaczek pocztowy / pieczątka,rzeczownik,A2
stand,stać / znosić (coś),czasownik,A1
stand,stoisko / postawa / trybuna,rzeczownik,B2
standard,standard / norma,rzeczownik,B1
standard,standardowy / typowy,przymiotnik,B1
star,gwiazda,rzeczownik,A1
star,grać główną rolę / gwiazdorzyć,czasownik,A2
stare,gapić się / wpatrywać się,czasownik,B2
start,zaczynać / ruszać,czasownik,A1
start,początek / start,rzeczownik,A2
state,państwo / stan,rzeczownik,A2
state,państwowy,przymiotnik,B1
state,oświadczać / stwierdzać,czasownik,B1
statement,oświadczenie / komunikat / wyciąg (z konta),rzeczownik,A1
station,stacja / dworzec,rzeczownik,A1
statistic,statystyka / dana statystyczna,rzeczownik,B1
statue,posąg / statua,rzeczownik,B1
status,status / pozycja / stan,rzeczownik,B2
stay,zostawać / zostawać (np. w hotelu),czasownik,A1
stay,pobyt,rzeczownik,A2
steady,stały / stabilny / równomierny,przymiotnik,B2
steal,kraść,czasownik,A2
steel,stal,rzeczownik,B2
steep,stromy,przymiotnik,B2
step,krok / stopień,rzeczownik,A2
step,stąpać / kroczyć,czasownik,B2
stick (push into/attach),wtykać / przyklejać,czasownik,B1
stick (piece of wood),patyk / kij,rzeczownik,B1
sticky,lepki,przymiotnik,B2
stiff,sztywny,przymiotnik,B2
still,nadal / wciąż,przysłówek,A1
still,nieruchomy / spokojny,przymiotnik,B1
stock,zapas / akcje (na giełdzie) / wywar,rzeczownik,B2
stomach,żołądek / brzuch,rzeczownik,A2
stone,kamień,rzeczownik,A2
stop,zatrzymywać (się) / przestawać,czasownik,A1
stop,przystanek / postój / przerwa,rzeczownik,A1
store,sklep / magazyn,rzeczownik,A2
store,przechowywać / magazynować,czasownik,B1
storm,burza / nawałnica,rzeczownik,A2
story,historia / opowiadanie / piętro (AmE),rzeczownik,A1
straight,prosto / bezpośrednio,przysłówek,A2
straight,prosty,przymiotnik,A2
strange,dziwny / obcy,przymiotnik,A2
stranger,nieznajomy / obcy,rzeczownik,B1
strategy,strategia,rzeczownik,A2
stream,strumień / potok,rzeczownik,B2
street,ulica,rzeczownik,A1
strength,siła / wytrzymałość,rzeczownik,B1
stress,stres / nacisk / akcent,rzeczownik,A2
stress,stresować / podkreślać,czasownik,A2
stretch,rozciągać (się) / wyciągać,czasownik,B2
stretch,odcinek / rozciągnięcie,rzeczownik,B2
strict,surowy / rygorystyczny,przymiotnik,B2
strike,strajk / uderzenie,rzeczownik,B2
strike,uderzać / strajkować,czasownik,B2
string,sznurek / struna / ciąg,rzeczownik,B1
strong,silny / mocny,przymiotnik,A1
strongly,mocno / zdecydowanie,przysłówek,B1
structure,struktura / konstrukcja,rzeczownik,A2
structure,konstruować / ustrukturyzować,czasownik,B2
struggle,zmagać się / borykać się,czasownik,B2
struggle,walka / zmaganie,rzeczownik,B2
student,student / uczeń,rzeczownik,A1
studio,studio / pracownia / kawalerka,rzeczownik,B1
study,uczyć się / studiować / badać,czasownik,A1
study,nauka / badanie / gabinet,rzeczownik,A1
stuff,rzeczy / graty / materiał,rzeczownik,B1
stuff,napychać / wypychać,czasownik,B2
stupid,głupi,przymiotnik,A2
style,styl,rzeczownik,A1
subject,przedmiot / temat / podmiot,rzeczownik,A1
subject,podatny / zależny,przymiotnik,B2
submit,składać / przedkładać / poddawać się,czasownik,B2
substance,substancja / istota,rzeczownik,B1
succeed,osiągnąć sukces / nastąpić po,czasownik,A2
success,sukces,rzeczownik,A1
successful,odnoszący sukcesy / udany,przymiotnik,A2
successfully,z powodzeniem / skutecznie,przysłówek,B1
such,taki / takowy,określnik / zaimek,A2
sudden,nagły,przymiotnik,B1
suddenly,nagle,przysłówek,A2
suffer,cierpieć / doznawać,czasownik,B1
sugar,cukier,rzeczownik,A1
suggest,sugerować / proponować,czasownik,A2
suggestion,sugestia / propozycja,rzeczownik,A2
suit,garnitur / kostium,rzeczownik,A2
suit,pasować (komuś) / odpowiadać,czasownik,B1
suitable,odpowiedni / nadający się,przymiotnik,B1
sum,suma / kwota,rzeczownik,B2
sum,podsumowywać,czasownik,B2
summarize,podsumowywać,czasownik,B1
summary,podsumowanie / streszczenie,rzeczownik,B1
summer,lato,rzeczownik,A1
sun,słońce,rzeczownik,A1
Sunday,niedziela,rzeczownik,A1
supermarket,supermarket,rzeczownik,A1
supply,zaopatrzenie / podaż / zapas,rzeczownik,B1
supply,dostarczać / zaopatrywać,czasownik,B1
support,wspierać / obsługiwać / utrzymywać,czasownik,A2
support,wsparcie / oparcie,rzeczownik,A2
supporter,kibic / zwolennik,rzeczownik,B1
suppose,przypuszczać / zakładać,czasownik,A2
sure,pewny,przymiotnik,A1
sure,oczywiście / pewnie,przysłówek,A2
surely,z pewnością / na pewno,przysłówek,B1
surface,powierzchnia,rzeczownik,B1
surgery,operacja / chirurgia / gabinet lekarski,rzeczownik,B2
surprise,niespodzianka / zaskoczenie,rzeczownik,A2
surprise,zaskakiwać,czasownik,A2
surprised,zaskoczony / zdziwiony,przymiotnik,A2
surprising,zaskakujący,przymiotnik,A2
surround,otaczać,czasownik,B2
surrounding,otaczający / sąsiedni,przymiotnik,B2
survey,ankieta / badanie / sondaż,rzeczownik,A2
survey,przeprowadzać sondaż / badać,czasownik,B2
survive,przetrwać / przeżyć,czasownik,B1
suspect,podejrzewać,czasownik,B2
suspect,podejrzany,rzeczownik,B2
swear,przeklinać / przysięgać,czasownik,B2
sweater,sweter,rzeczownik,A1
sweep,zamiatać,czasownik,B2
sweet,słodki / miły,przymiotnik,A2
sweet,cukierek / słodycz,rzeczownik,A2
swim,pływać,czasownik,A1
swim,pływanie / kąpiel,rzeczownik,B1
swimming,pływanie (jako czynność),rzeczownik,A1
switch,zmieniać / przełączać,czasownik,B1
switch,przełącznik / zmiana,rzeczownik,B2
symbol,symbol,rzeczownik,A2
sympathy,współczucie / litość,rzeczownik,B2
symptom,symptom / objaw,rzeczownik,B1
system,system / układ,rzeczownik,A2
table,stół / tabela,rzeczownik,A1
tablet,tablet / tabletka,rzeczownik,A2
tail,ogon,rzeczownik,B1
take,brać / wziąć / zabierać,czasownik,A1
talent,talent,rzeczownik,B1
talented,utalentowany,przymiotnik,B1
tale,opowieść / bajka,rzeczownik,B2
talk,rozmawiać,czasownik,A1
talk,rozmowa / wykład,rzeczownik,A2
tall,wysoki,przymiotnik,A1
tank,zbiornik / czołg,rzeczownik,B2
tape,taśma / nagranie,rzeczownik,B1
target,cel / tarcza,rzeczownik,A2
target,celować / skierować do,czasownik,B2
task,zadanie,rzeczownik,A2
taste,smakować / próbować,czasownik,A2
taste,smak / gust,rzeczownik,A2
tax,podatek,rzeczownik,B1
tax,opodatkować,czasownik,B1
taxi,taksówka,rzeczownik,A1
tea,herbata,rzeczownik,A1
teach,uczyć (kogoś),czasownik,A1
teacher,nauczyciel / nauczycielka,rzeczownik,A1
teaching,nauczanie / szkolnictwo,rzeczownik,A2
team,zespół / drużyna,rzeczownik,A1
tear,rozdzierać / rwać,czasownik,B2
tear,rozdarcie / dziura,rzeczownik,B2
tear,łza,rzeczownik,B2
technical,techniczny,przymiotnik,B1
technique,technika / metoda,rzeczownik,B1
technology,technologia,rzeczownik,A2
teenage,nastoletni,przymiotnik,A2
teenager,nastolatek / nastolatka,rzeczownik,A1
telephone,telefon,rzeczownik,A1
telephone,dzwonić,czasownik,A1
television,telewizja,rzeczownik,A1
tell,mówić / powiedzieć / opowiadać,czasownik,A1
temperature,temperatura,rzeczownik,A2
temporary,tymczasowy,przymiotnik,B2
ten,dziesięć,liczebnik,A1
tend,mieć skłonność / dążyć,czasownik,B1
tennis,tenis,rzeczownik,A1
tent,namiot,rzeczownik,B1
term,termin / semestr / określenie,rzeczownik,A2
term,nazywać / określać,czasownik,B2
terrible,okropny / straszny,przymiotnik,A1
test,test / sprawdzian / badanie,rzeczownik,A1
test,testować / sprawdzać,czasownik,A1
text,tekst,rzeczownik,A1
text,pisać wiadomości tekstowe,czasownik,A2
than,niż,spójnik,A1
thank,dziękować,czasownik,A1
thanks,dzięki / podziękowania,wykrzyknik / rzeczownik,A1
that,tamten / tamta / tamto,określnik,A1
that,że / który,zaimek / spójnik,A1
